Where,Miles,Km
Bag End,1,2
Tookland Farm,5,8
Black Rider Encounter,32,51
Enter the Old Forest,41,66
Farmer Maggot's Field,61,98
Buckleberry Ferry,70,113
Crickhollow,75,121
Tom Bombadil's House,98,158
Barrow Wight Encounter,115,185
Bree,135,217
Midgewater Marshes,173,278
Exit Midgewater Marshes,198,319
Weathertop,240,386
Trollshaws,325,523
Bilbo's Stone Trolls,386,621
Meet Glorfindel,405,652
Ford of Bruinen,450,724
Rivendell,458,737
Ford of Bruinen (duplicate),466,750
3 days after Rivendell,510,821
6 days after Rivendell,555,893
9 days after Rivendell,600,966
12 days after Rivendell,645,1038
Hollin Ridge,690,1110
Redhorn Pass,750,1207
Attacked by Wargs,778,1252
Doors of Moria,798,1284
Junction of 3 Passages,818,1316
Bridge of Khazad-dum,839,1350
Enter Lothlorien,855,1376
Caras Galadan,920,1481
The Wastelands,987,1588
Field of Celebrant,1023,1646
North Undeep,1063,1711
Meet Gollum,1075,1730
Higher Emyn Muil,1234,1986
Orc Attack at Sarn Gebir,1267,2039
The Argonath,1288,2073
Rauros,1309,2107
3 Days after Rauros,1359,2187
Capture Gollum,1383,2226
Dead Marshes,1411,2271
Nazgul on Fell Beasts,1430,2301
Desolate Morannon,1463,2354
You Can See the Black Gate,1475,2374
Northern Edge of Ithilien,1498,2411
Meet Faramir,1523,2451
Henneth Anun,1533,2467
Morgul Vale Is In View,1577,2538
The Cross-Roads,1590,2559
Winding Stair,1598,2572
Shelobs Lair,1603,2580
Attacked by Shelob,1613,2596
Tower of Cirith Ungol,1625,2615
Faramir's troop starves,1668,2684
Sam Spots Gollum,1693,2725
Join Orc March,1712,2755
Escape the Orcs,1718,2765
The Dreadful Nightfall,1767,2844
Foot of Mount Doom,1795,2889
Destroy the One Ring,1800,2897
