Where, Miles
Bag End,1
Tookland Farm,5
Black Rider Encounter,32
Enter the Old Forest,41
Farmer Maggot's Field,61
Buckleberry Ferry,70
Crickhollow,75
Tom Bombadil's House,98
Barrow Wight Encounter,115
Bree,135
Midgewater Marshes,173
Exit Midgewater Marshes,198
Weathertop,240
Trollshaws,325
Bilbo's Stone Trolls,386
Meet Glorfindel,405
Ford of Bruinen,450
Rivendell,458
Ford of Bruinen (duplicate),466
3 days after Rivendell,510
6 days after Rivendell,555
9 days after Rivendell,600
12 days after Rivendell,645
Hollin Ridge,690
Redhorn Pass,750
Attacked by Wargs,778
Doors of Moria,798
Junction of 3 Passages,818
Bridge of Khazad-dum,839
Enter Lothlorien,855
Caras Galadan,920
The Wastelands,987
Field of Celebrant,1023
North Undeep,1063
Meet Gollum,1075
Higher Emyn Muil,1234
Orc Attack at Sarn Gebir,1267
The Argonath,1288
Rauros,1309
3 Days after Rauros,1359
Capture Gollum,1383
Dead Marshes,1411
Nazgul on Fell Beasts,1430
Desolate Morannon,1463
You Can See the Black Gate,1475
Northern Edge of Ithilien,1498
Meet Faramir,1523
Henneth Anun,1533
Morgul Vale Is In View,1577
The Cross-Roads,1590
Winding Stair,1598
Shelobs Lair,1603
Attacked by Shelob,1613
Tower of Cirith Ungol,1625
Faramir's troop starves,1668
Sam Spots Gollum,1693
Join Orc March,1712
Escape the Orcs,1718
The Dreadful Nightfall,1767
Foot of Mount Doom,1795
Destroy the One Ring,1800
